idx,salary
5746,1000
5768,1000
5785,1000
5787,1000
5811,1000
5820,1000
5825,1000
5831,1000
5845,1000
5846,1000
5888,1000
5891,1000
5934,1000
5936,1000
5939,1000
6039,1000
6091,1000
6098,1000
6127,1000
6191,1000
6195,1000
6202,1000
6233,1000
6256,1000
6272,1000
6304,1000
6325,1000
6392,1000
6393,1000
6398,1000
6419,1000
6505,1000
6508,1000
6556,1000
6568,1000
6570,1000
6609,1000
6628,1000
6653,1000
6673,1000
6684,1000
6742,1000
6746,1000
6747,1000
6761,1000
6768,1000
6777,1000
6792,1000
6793,1000
6877,1000
6884,1000
6898,1000
6919,1000
6927,1000
6931,1000
6932,1000
6948,1000
6977,1000
6981,1000
7012,1000
7046,1000
7075,1000
7079,1000
7105,1000
7129,1000
7153,1000
7156,1000
7165,1000
7225,1000
7279,1000
7288,1000
7291,1000
7309,1000
7318,1000
7332,1000
7333,1000
7354,1000
7356,1000
7368,1000
7384,1000
7408,1000
7414,1000
7427,1000
7452,1000
7454,1000
7502,1000
7512,1000
7518,1000
7541,1000
7556,1000
7570,1000
7621,1000
7629,1000
7660,1000
7669,1000
7677,1000
7681,1000
7697,1000
7734,1000
7779,1000
7797,1000
7799,1000
7813,1000
7820,1000
7838,1000
7850,1000
7857,1000
7869,1000
7903,1000
7904,1000
7912,1000
7914,1000
7915,1000
7919,1000
7944,1000
7955,1000
7970,1000
7981,1000
7983,1000
7986,1000
7998,1000
7999,1000
8001,1000
8017,1000
8040,1000
8043,1000
8075,1000
8079,1000
8090,1000
8129,1000
8137,1000
8170,1000
8174,1000
8179,1000
8198,1000
8199,1000
8245,1000
8251,1000
8262,1000
8304,1000
8305,1000
8315,1000
8316,1000
8330,1000
8333,1000
8348,1000
8352,1000
8354,1000
8366,1000
8405,1000
8415,1000
8429,1000
8439,1000
8446,1000
8475,1000
8507,1000
8521,1000
8539,1000
8540,1000
8572,1000
8591,1000
8592,1000
8597,1000
8602,1000
8610,1000
8612,1000
8622,1000
8628,1000
8639,1000
8661,1000
8664,1000
8665,1000
8674,1000
8689,1000
8691,1000
8702,1000
8705,1000
8718,1000
8729,1000
8746,1000
8760,1000
8766,1000
8783,1000
8784,1000
8785,1000
8790,1000
8791,1000
8794,1000
8800,1000
8801,1000
8806,1000
8812,1000
8817,1000
8846,1000
8852,1000
8862,1000
8863,1000
8873,1000
8876,1000
8877,1000
8884,1000
8890,1000
8893,1000
8903,1000
8904,1000
8921,1000
8929,1000
8943,1000
8947,1000
8951,1000
8953,1000
8961,1000
8965,1000
8967,1000
8968,1000
8976,1000
8982,1000
8993,1000
8994,1000
8997,1000
9004,1000
9019,1000
9027,1000
9032,1000
9039,1000
9043,1000
9047,1000
9054,1000
9058,1000
9059,1000
9065,1000
9068,1000
9069,1000
9071,1000
9077,1000
9086,1000
9092,1000
9097,1000
9098,1000
9099,1000
9104,1000
9113,1000
9114,1000
9135,1000
9137,1000
9142,1000
9143,1000
9163,1000
9172,1000
9175,1000
9182,1000
9186,1000
9190,1000
9200,1000
9203,1000
9204,1000
9207,1000
9208,1000
9234,1000
9239,1000
9264,1000
9271,1000
9276,1000
9282,1000
9288,1000
9294,1000
9305,1000
9307,1000
9310,1000
9312,1000
9324,1000
9331,1000
9336,1000
9347,1000
9357,1000
9371,1000
9382,1000
9385,1000
9389,1000
9392,1000
9399,1000
9411,1000
9421,1000
9432,1000
9462,1000
9473,1000
9475,1000
9477,1000
9479,1000
9481,1000
9484,1000
9494,1000
9499,1000
9504,1000
9513,1000
9519,1000
9528,1000
9537,1000
9563,1000
9573,1000
9575,1000
9585,1000
9599,1000
9600,1000
9613,1000
9617,1000
9628,1000
9632,1000
9635,1000
9636,1000
9639,1000
9640,1000
9646,1000
9651,1000
9660,1000
9663,1000
9664,1000
9674,1000
9678,1000
9683,1000
9703,1000
9706,1000
9715,1000
9718,1000
9724,1000
9738,1000
9756,1000
9765,1000
9768,1000
9779,1000
9805,1000
9808,1000
9810,1000
9814,1000
9815,1000
9833,1000
9841,1000
9849,1000
9852,1000
9859,1000
9866,1000
9868,1000
9876,1000
9879,1000
9883,1000
9892,1000
9899,1000
9907,1000
9910,1000
9936,1000
9941,1000
9946,1000
9953,1000
9958,1000
9960,1000
9961,1000
9974,1000
9976,1000
9984,1000
9986,1000
9987,1000
9988,1000
9995,1000
10003,1000
10004,1000
10013,1000
10014,1000
10016,1000
10022,1000
10026,1000
10027,1000
10028,1000
10032,1000
10044,1000
10045,1000
10056,1000
10060,1000
10065,1000
10079,1000
10082,1000
10089,1000
10098,1000
10100,1000
10101,1000
10102,1000
10103,1000
10106,1000
10107,1000
10111,1000
10124,1000
10125,1000
10135,1000
10141,1000
10142,1000
10153,1000
10155,1000
10156,1000
10163,1000
10166,1000
10168,1000
10173,1000
10174,1000
10177,1000
10179,1000
10182,1000
10183,1000
10193,1000
10195,1000
10196,1000
10198,1000
10203,1000
10206,1000
10210,1000
10212,1000
10217,1000
10221,1000
10224,1000
10229,1000
10230,1000
10234,1000
10238,1000
10244,1000
10246,1000
10253,1000
10254,1000
10256,1000
10260,1000
10263,1000
10268,1000
10274,1000
10278,1000
10284,1000
10286,1000
10287,1000
10291,1000
10292,1000
10294,1000
10297,1000
10298,1000
10300,1000
10301,1000
10306,1000
10307,1000
10310,1000
10314,1000
10316,1000
10324,1000
10333,1000
10335,1000
10338,1000
10339,1000
10346,1000
10356,1000
10357,1000
10359,1000
10361,1000
10362,1000
10369,1000
10378,1000
10382,1000
10384,1000
10396,1000
10401,1000
10416,1000
10429,1000
10444,1000
10447,1000
10449,1000
10463,1000
10468,1000
10470,1000
10476,1000
10477,1000
10479,1000
10488,1000
10493,1000
10495,1000
10511,1000
10539,1000
10540,1000
10544,1000
10545,1000
10548,1000
10552,1000
10554,1000
10556,1000
10563,1000
10574,1000
10584,1000
10589,1000
10599,1000
10600,1000
10602,1000
10612,1000
10619,1000
10621,1000
10626,1000
10631,1000
10634,1000
10637,1000
10651,1000
10657,1000
10661,1000
10663,1000
10667,1000
10673,1000
10683,1000
10690,1000
10693,1000
10705,1000
10708,1000
10710,1000
10712,1000
10721,1000
10724,1000
10728,1000
10730,1000
10736,1000
10737,1000
10739,1000
10744,1000
10745,1000
10750,1000
10756,1000
10757,1000
10764,1000
10766,1000
10773,1000
10775,1000
10779,1000
10784,1000
10785,1000
10789,1000
10803,1000
10810,1000
10811,1000
10813,1000
10815,1000
10818,1000
10820,1000
10822,1000
10823,1000
10831,1000
10834,1000
10835,1000
10841,1000
10848,1000
10853,1000
10858,1000
10859,1000
10868,1000
10875,1000
10884,1000
10893,1000
10897,1000
10903,1000
10904,1000
10911,1000
10913,1000
10920,1000
10926,1000
