CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
102000,Woman,IC,29,13,24,BA
1e+05,Man,IC,15,16,8,MA
4e+05,Man,IC,20,16,15,PhD
75000,Man,IC,7,18,3,BA
72500,Man,IC,LT 1 year,30,LT 1 year,LT BA
85000,Man,IC,6,8,4,LT BA
80000,Man,IC,7,15,LT 1 year,BA
150000,Man,IC,27,15,21,BA
35000,Man,Manager,6,30,LT 1 year,BA
95000,Man,IC,6,23,6,BA
117000,Man,IC,15,15,3,BA
52500,Man,IC,10,15,3,LT BA
144250,Man,IC,14,29,14,LT BA
97000,Man,IC,6,18,3,BA
1e+05,Man,IC,7,20,5,MA
105000,Man,IC,16,18,11,MA
1e+05,Man,IC,8,6,4,BA
130000,Man,IC,12,16,12,LT BA
210000,Man,IC,9,16,5,BA
84000,Man,IC,16,20,13,MA
130000,Man,IC,7,16,2,MA
65000,Man,IC,1,41,1,PhD
90640,Man,IC,10,21,6,BA
150000,Woman,IC,7,12,6,LT BA
147000,Woman,IC,9,10,5,BA
80000,Man,IC,9,20,6,LT BA
105000,Man,IC,12,12,2,BA
123000,Man,IC,7,23,4,BA
130000,Man,IC,NA,17,6,MA
160000,Man,IC,6,NA,5,MA
190000,Man,IC,5,16,4,BA
425000,Man,IC,12,14,8,BA
57000,Woman,IC,7,8,4,LT BA
276000,Man,IC,7,10,5,PhD
63000,Man,IC,13,18,4,MA
70000,Man,IC,1,16,LT 1 year,BA
67000,Woman,IC,6,15,4,BA
130000,Man,IC,12,16,8,MA
112100,Man,IC,13,16,12,MA
90000,Man,IC,12,16,6,BA
148000,Man,IC,42,15,38,BA
85000,Man,Manager,13,16,5,BA
3e+05,Man,Manager,10,21,8,LT BA
150000,Man,IC,8,16,LT 1 year,MA
85000,Man,IC,10,12,1,BA
1e+05,Man,IC,6,19,4,BA
106000,Man,IC,7,22,6,LT BA
65000,Man,IC,14,13,8,MA
113000,Man,IC,16,18,9,BA
70000,Man,IC,12,18,7,BA
120000,Man,IC,28,9,21,LT BA
72000,Man,IC,10,14,5,MA
180000,Man,IC,40,14,27,BA
75000,Man,IC,7,17,4,BA
145000,Man,IC,3,25,2,BA
90000,Man,Manager,9,21,5,MA
180000,Man,IC,27,18,23,MA
115000,Man,IC,8,10,3,BA
86000,Man,IC,18,17,10,BA
90000,Man,IC,40,19,40,LT BA
120000,Man,IC,28,11,23,BA
92000,Man,IC,21,8,6,BA
55000,Man,IC,2,20,2,MA
125000,Man,IC,4,10,2,BA
76000,Man,IC,11,12,5,BA
135000,Man,IC,15,12,11,BA
175000,Man,IC,42,17,36,MA
65000,Man,IC,10,17,10,BA
190000,Man,IC,8,15,2,BA
120000,Man,IC,9,14,8,BA
105000,Man,IC,32,7,23,PhD
64000,Man,IC,3,22,LT 1 year,BA
105000,Woman,IC,7,27,5,BA
60000,Man,IC,15,10,7,LT BA
80000,Man,IC,14,12,6,BA
92000,Woman,IC,10,11,4,BA
150000,Man,IC,10,14,6,BA
85000,Man,IC,7,17,3,BA
115000,Man,IC,7,26,3,BA
85000,Man,IC,14,13,5,BA
152000,Man,IC,12,18,8,MA
2e+05,Woman,IC,15,14,5,PhD
131000,Man,IC,20,9,9,BA
1e+05,Man,IC,8,24,6,MA
95000,Man,IC,9,32,9,BA
112000,Man,IC,10,8,10,LT BA
1e+05,Man,IC,9,18,5,BA
115000,Man,IC,9,15,2,BA
118000,Man,IC,20,15,11,BA
20000,Man,IC,14,12,5,MA
75000,Man,IC,5,18,2,BA
80000,Woman,Manager,4,20,2,MA
180000,Man,IC,16,12,11,BA
90000,Man,IC,7,16,3,BA
165000,Man,IC,9,16,6,BA
102700,Man,IC,10,19,8,LT BA
120000,Man,IC,11,11,7,LT BA
135000,Man,Manager,41,22,41,BA
150000,Man,IC,43,17,35,BA
110000,Man,IC,34,Younger than 5 years,5,Professional
190000,Man,Manager,30,13,25,LT BA
120000,Man,IC,32,19,32,BA
45000,Man,IC,1,21,1,LT BA
180000,Man,IC,5,25,5,MA
125000,Man,IC,13,17,13,PhD
115000,Woman,IC,4,29,3,MA
95000,Man,IC,14,10,14,BA
160000,Man,IC,3,32,3,BA
175000,Man,Manager,30,12,20,MA
170000,Man,Manager,35,19,30,MA
78000,Man,IC,10,18,5,BA
120000,Man,Manager,18,18,15,BA
2e+05,Man,IC,9,16,4,BA
130000,Man,IC,24,10,13,LT BA
90000,Man,IC,8,10,5,BA
58000,Man,IC,7,13,6,BA
158000,Man,IC,10,24,7,BA
160000,Man,IC,4,12,2,LT BA
60500,Man,IC,2,15,1,LT BA
80000,Man,IC,4,25,3,BA
155000,Man,IC,18,16,11,BA
91500,Man,IC,4,17,4,MA
120000,Man,IC,19,12,15,MA
125000,Woman,IC,6,10,2,BA
132500,Man,IC,30,7,14,MA
148000,Man,IC,18,10,4,MA
195000,Man,IC,20,12,16,MA
180000,Man,IC,25,7,16,BA
150000,Man,Manager,10,19,9,BA
1e+05,Man,IC,36,14,23,MA
140000,Man,IC,40,24,36,BA
96250,Man,Manager,7,17,3,BA
75000,Man,Manager,4,22,4,LT BA
90000,Man,IC,10,20,7,BA
165000,Man,IC,20,19,16,BA
130000,Woman,IC,11,20,10,BA
110000,Man,IC,6,19,4,MA
238000,Man,IC,10,14,5,MA
60000,Man,IC,9,17,5,BA
135000,Man,IC,18,12,8,BA
80000,Woman,IC,14,21,14,BA
93500,Man,IC,7,17,3,BA
77000,Man,IC,9,14,1,BA
63000,Man,IC,9,14,5,BA
266000,Man,IC,9,7,9,BA
1e+06,Man,IC,20,15,8,LT BA
72000,Man,IC,32,13,LT 1 year,BA
155000,Man,IC,25,9,15,BA
80000,Man,IC,10,15,4,BA
280000,Man,Manager,15,10,11,BA
150000,Man,IC,23,18,20,MA
90000,Man,IC,9,18,5,BA
80000,Man,IC,5,18,LT 1 year,BA
156000,Man,IC,12,13,5,BA
105000,Man,IC,43,11,37,MA
89000,Man,IC,14,16,13,BA
127000,Man,IC,10,13,5,BA
54248,Man,IC,14,12,7,LT BA
128000,Man,IC,13,16,8,MA
102000,Man,IC,13,18,9,MA
88000,Man,IC,7,17,2,BA
125000,Man,IC,5,17,2,BA
140000,Man,IC,10,13,5,BA
112500,Man,IC,8,14,6,PhD
92500,Man,IC,5,23,4,BA
125000,Man,IC,5,17,3,MA
120000,Woman,IC,5,17,4,BA
62000,Woman,IC,4,24,2,BA
1e+05,Man,IC,20,16,10,BA
73000,Man,IC,10,16,6,BA
84000,Man,IC,6,14,3,BA
85000,Man,IC,4,25,3,NA
124000,Man,IC,20,16,20,BA
45000,Man,IC,3,29,1,BA
150000,Man,IC,25,35,20,MA
120000,Woman,IC,4,16,1,MA
125000,Man,IC,6,36,6,LT BA
242000,Man,IC,12,15,7,BA
117000,Man,IC,26,9,6,BA
126500,Man,IC,9,11,6,BA
140000,Man,IC,5,18,LT 1 year,BA
139000,Woman,IC,20,16,18,MA
172500,Man,IC,17,14,15,PhD
137000,Man,IC,26,8,12,BA
190000,Man,IC,22,19,14,MA
82000,Man,IC,20,12,10,BA
95000,Man,IC,44,15,41,BA
60000,Man,IC,4,18,LT 1 year,BA
1e+05,Man,IC,20,14,16,BA
150000,Man,IC,6,17,8,MA
180000,Man,Manager,24,15,20,BA
250000,Man,Manager,34,12,30,BA
66000,Man,IC,12,13,4,LT BA
102000,Man,IC,27,8,8,BA
70000,Man,IC,5,18,3,MA
130000,Woman,IC,8,19,4,BA
160000,Man,IC,22,10,16,BA
105000,Man,IC,7,20,5,BA
105000,Man,IC,19,17,16,BA
112800,Man,IC,9,19,9,BA
125000,Man,IC,30,8,20,BA
50000,Man,IC,6,6,4,LT BA
64000,Woman,IC,5,22,3,BA
1e+05,Man,IC,30,16,25,BA
160000,Man,IC,20,15,15,LT BA
95000,Man,IC,10,16,6,MA
82000,Man,IC,15,14,6,LT BA
110000,Woman,IC,8,18,5,BA
130000,Man,IC,10,15,4,MA
82500,Man,IC,14,13,6,BA
1e+05,Man,IC,8,11,6,MA
70000,Man,IC,8,14,3,BA
183000,Man,Manager,35,12,25,BA
36000,Man,IC,8,15,3,BA
111000,Man,IC,3,13,2,BA
137000,Man,IC,22,15,17,MA
174000,Man,IC,12,11,3,BA
120000,Man,IC,15,23,NA,BA
86000,Man,IC,5,12,4,LT BA
45000,Man,IC,5,13,1,LT BA
85000,Man,IC,18,15,7,BA
85000,Man,IC,7,13,3,BA
2e+05,Man,IC,35,13,30,MA
85000,Man,IC,18,12,12,BA
160000,Man,IC,30,30,30,BA
140000,Man,Manager,14,7,7,BA
150000,Man,IC,11,12,5,BA
210000,Man,IC,7,14,7,MA
192000,Man,IC,16,16,9,BA
175000,Man,IC,25,18,20,BA
1e+05,Man,IC,22,NA,14,BA
150000,Man,IC,5,13,3,LT BA
88500,Man,IC,40,10,30,BA
60000,Man,IC,8,16,4,BA
102000,Man,IC,10,26,4,MA
247084,Man,IC,13,17,10,BA
150000,Man,IC,19,14,13,BA
1e+05,Man,IC,17,16,13,BA
101426,Man,IC,7,16,3,BA
1e+05,Man,IC,20,15,10,LT BA
170000,Man,IC,23,14,13,NA
110000,Man,IC,5,16,1,BA
96000,Man,Manager,16,14,11,LT BA
145000,Woman,IC,10,14,3,BA
2e+05,Man,IC,10,20,2,PhD
150000,Man,IC,36,14,30,BA
108000,Woman,Manager,15,20,15,MA
82500,Man,IC,1,25,1,MA
75000,Man,IC,15,14,8,BA
182000,Man,Manager,15,20,15,BA
130000,Man,IC,20,23,18,NA
130000,Man,IC,25,14,25,MA
121900,Man,IC,19,10,11,LT BA
130000,Man,IC,32,9,23,BA
136200,Man,Manager,19,16,12,BA
52000,Man,IC,3,25,LT 1 year,BA
125000,Man,Manager,7,12,7,BA
125000,Man,IC,15,12,10,MA
81000,Man,IC,15,10,9,MA
69300,Man,IC,12,16,6,LT BA
72000,Man,Manager,11,12,5,LT BA
85000,Man,IC,11,14,4,BA
65500,Man,IC,8,12,7,BA
1e+05,Woman,IC,20,12,9,BA
80000,Man,IC,3,22,2,BA
60000,Man,IC,6,19,2,NA
1e+05,Man,IC,14,13,10,LT BA
120000,Woman,IC,20,15,20,BA
60000,Man,IC,8,13,LT 1 year,BA
42000,Man,IC,2,30,LT 1 year,LT BA
1e+05,Man,IC,5,13,2,MA
101010,Man,IC,8,20,5,BA
155000,Man,IC,11,14,8,BA
85000,Woman,IC,6,13,1,BA
77000,Man,IC,15,14,15,BA
110000,Man,IC,11,13,3,BA
80000,Woman,IC,3,36,3,MA
92000,Man,IC,43,25,43,BA
4e+05,Man,IC,28,7,13,MA
46000,Man,IC,3,17,1,LT BA
145000,Man,IC,10,12,LT 1 year,BA
68000,Woman,IC,1,15,LT 1 year,BA
240000,Man,IC,9,12,7,BA
176000,Man,IC,26,11,19,BA
120000,Man,IC,15,14,10,BA
150000,Man,IC,11,14,8,BA
103000,Man,IC,35,12,18,LT BA
180000,Man,IC,12,11,4,LT BA
84000,Man,IC,20,19,15,BA
220000,Man,IC,25,8,20,LT BA
36000,Man,IC,1,17,1,LT BA
51024,Woman,IC,6,9,3,BA
75000,Man,IC,20,12,8,BA
135000,Man,IC,18,13,12,LT BA
105000,Man,IC,10,12,8,BA
120000,Man,IC,24,13,22,BA
220000,Man,IC,20,12,13,BA
77000,Man,IC,8,14,8,BA
140000,Man,IC,9,20,7,MA
120000,Man,Manager,13,18,7,BA
110000,Man,IC,22,14,11,BA
149000,Man,IC,27,10,22,BA
1e+05,Man,IC,6,31,3,MA
140000,Woman,IC,9,10,6,BA
97000,Man,IC,3,11,2,LT BA
65000,Woman,IC,7,18,2,BA
130000,Woman,IC,23,20,23,BA
83734,Man,IC,30,12,22,BA
88000,Man,IC,12,15,10,LT BA
180000,Man,Manager,20,14,17,BA
81588,Man,IC,9,20,5,BA
140000,Man,IC,10,14,7,LT BA
56000,Man,IC,11,13,9,LT BA
360000,Man,IC,24,15,22,MA
82000,Man,IC,12,12,7,BA
80000,Woman,IC,22,18,18,BA
150000,Man,IC,12,13,4,MA
37000,Woman,IC,6,20,5,BA
110000,Man,IC,18,10,14,BA
76000,Man,IC,5,16,3,BA
1e+05,Man,IC,12,14,12,BA
56000,Man,IC,20,14,12,LT BA
90000,Man,IC,8,17,5,BA
88000,Man,IC,15,10,4,LT BA
135000,Man,IC,28,5,10,PhD
60000,Man,IC,15,14,5,BA
130000,Man,IC,8,19,4,BA
1e+05,Man,IC,15,12,7,BA
152000,Man,IC,23,13,8,MA
60000,Man,IC,6,8,3,BA
92400,Man,IC,10,16,10,BA
95000,Man,IC,12,14,3,BA
92000,Man,IC,10,15,7,BA
115000,Man,IC,50,18,50,MA
45000,Woman,IC,6,9,4,MA
155000,Man,Manager,32,8,22,BA
226000,Man,Manager,27,11,18,MA
80000,Man,IC,7,18,3,BA
125000,Man,IC,35,15,30,MA
105000,Man,IC,10,10,8,BA
125000,Man,Manager,5,10,3,BA
140000,Man,IC,10,14,10,BA
84000,Man,IC,8,16,LT 1 year,BA
1e+05,Man,IC,3,19,2,BA
120000,Man,Manager,34,6,21,MA
155000,Man,IC,31,11,25,BA
130000,Man,Manager,11,12,11,PhD
130000,Man,IC,20,18,6,PhD
190000,Man,IC,20,17,16,BA
225000,Man,Manager,18,18,14,BA
105000,Man,IC,17,11,12,LT BA
105000,Man,IC,8,23,8,LT BA
165000,Man,IC,35,5,14,LT BA
110000,Man,IC,12,15,6,MA
176874,Woman,IC,4,16,2,LT BA
165000,Man,IC,30,Younger than 5 years,7,BA
111000,Man,IC,6,12,2,BA
1e+05,Man,Manager,9,18,5,BA
95000,Man,IC,13,11,4,MA
92500,Man,IC,14,15,2,BA
80000,Man,IC,12,32,4,BA
110000,Man,IC,13,18,8,BA
78000,Woman,IC,2,25,2,BA
73000,Man,IC,34,8,10,MA
74000,Woman,IC,5,18,2,BA
74000,Man,IC,3,22,2,MA
130000,Man,Manager,17,18,15,MA
105000,Man,IC,23,13,16,LT BA
60000,Man,IC,20,12,13,BA
160000,Man,IC,9,11,4,MA
105000,Woman,IC,3,9,3,LT BA
88400,Woman,IC,6,18,4,BA
95000,Man,IC,9,24,7,BA
51700,Woman,IC,3,13,2,MA
84000,Woman,IC,1,18,LT 1 year,MA
120000,Man,IC,25,10,13,MA
97000,Man,IC,10,17,10,BA
161000,Man,IC,27,8,22,BA
72000,Man,IC,3,27,LT 1 year,BA
150000,Man,Manager,20,9,20,BA
180000,Man,Manager,29,11,24,PhD
95000,Woman,IC,8,23,5,MA
95000,Man,IC,4,14,3,LT BA
150000,Man,Manager,24,10,22,LT BA
1e+05,Man,IC,20,15,20,BA
75000,Man,IC,6,16,2,BA
120000,Man,IC,7,14,7,LT BA
85300,Man,IC,20,17,8,LT BA
135000,Man,IC,18,19,12,MA
185000,Man,IC,12,16,7,BA
100500,Man,IC,14,15,12,LT BA
