CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
41000,Man,IC,14,25,10,LT BA
1e+05,Man,IC,5,17,2,BA
50000,Man,IC,5,11,2,LT BA
75000,Woman,Manager,6,16,3,MA
93000,Man,IC,7,23,6,BA
110000,Man,IC,38,29,38,BA
105000,Man,IC,5,20,2,BA
115000,Man,IC,26,13,26,LT BA
90000,Man,IC,5,27,3,BA
40000,Man,IC,6,17,2,BA
70000,Man,IC,10,16,1,MA
130000,Woman,IC,2,21,2,BA
70000,Man,IC,8,17,1,MA
110000,Man,IC,7,9,7,MA
70000,Man,IC,8,15,3,NA
120000,Woman,IC,10,18,6,BA
68000,Man,IC,20,15,12,LT BA
80000,Man,IC,14,19,7,PhD
87000,Man,IC,14,10,5,BA
85000,Man,IC,11,13,2,BA
125091,Man,IC,22,9,14,MA
74000,Man,IC,10,10,10,LT BA
68500,Man,IC,3,12,2,MA
90000,Man,IC,23,23,21,LT BA
72000,Man,IC,11,12,1,BA
87000,Woman,IC,6,18,LT 1 year,MA
146000,Woman,IC,5,25,4,BA
40000,Man,IC,2,26,LT 1 year,LT BA
94000,Man,IC,22,12,15,MA
44000,Man,IC,7,13,4,BA
80000,Man,IC,45,13,35,LT BA
85000,Man,IC,7,20,5,BA
130000,Man,IC,7,15,2,BA
145000,Man,IC,6,18,6,BA
84000,Man,IC,38,13,26,BA
112500,Man,IC,16,7,12,MA
157080,Man,IC,15,8,9,BA
90000,Man,IC,8,21,1,BA
105000,Man,IC,35,17,25,NA
160000,Woman,IC,4,13,LT 1 year,LT BA
115000,Man,IC,15,5,12,MA
64680,Man,IC,8,15,LT 1 year,BA
90000,Man,IC,18,16,18,BA
175000,Man,Manager,20,11,15,BA
54000,Man,Manager,12,13,10,PhD
85000,Man,IC,31,13,19,LT BA
160000,Man,IC,41,12,31,PhD
133500,Man,IC,12,13,4,BA
40000,Woman,IC,8,18,6,PhD
82000,Man,IC,8,14,4,BA
160000,Man,IC,6,8,6,BA
150000,Man,IC,30,14,25,BA
69000,Man,IC,6,12,3,BA
40000,Man,IC,4,10,3,LT BA
115000,Woman,IC,12,13,12,BA
70000,Man,IC,2,26,1,BA
130000,Man,Manager,13,11,7,BA
132000,Man,IC,23,11,19,MA
70000,Man,IC,10,19,3,BA
66600,Man,IC,4,11,2,MA
40000,Man,IC,8,16,8,BA
110000,Man,IC,15,8,12,LT BA
55000,Woman,IC,4,22,2,LT BA
350000,Man,IC,18,12,12,BA
81500,Man,IC,8,11,7,MA
156000,Man,IC,8,18,4,BA
175000,Man,IC,19,12,11,LT BA
133000,Man,IC,30,6,14,BA
96000,Man,IC,5,19,2,BA
83000,Man,IC,5,20,2,MA
120000,Man,IC,20,14,11,LT BA
95000,Man,IC,10,19,6,BA
140000,Man,IC,23,10,12,BA
71500,Man,IC,11,10,3,BA
128000,Man,IC,14,11,3,BA
70000,Man,IC,9,19,6,BA
114000,Man,Manager,18,18,18,BA
260000,Man,IC,27,14,21,PhD
117000,Man,IC,18,13,12,BA
140000,Man,IC,22,13,11,LT BA
138000,Man,IC,8,17,3,BA
150000,Man,IC,18,20,13,BA
140000,Man,IC,25,12,13,BA
1e+05,Man,IC,40,16,32,BA
57000,Man,IC,4,18,LT 1 year,BA
170000,Man,Manager,15,10,10,BA
67000,Man,IC,5,15,4,LT BA
280000,Man,IC,18,14,9,MA
92000,Man,IC,20,11,8,BA
88000,Man,Manager,14,11,9,LT BA
110000,Man,IC,25,14,20,LT BA
126000,Man,IC,22,15,18,BA
150000,Man,IC,12,14,8,BA
70000,Man,IC,11,13,4,BA
120000,Man,IC,29,14,19,BA
83000,Man,IC,17,10,12,BA
75000,Man,IC,8,18,4,BA
95000,Man,IC,2,10,2,BA
95000,Man,Manager,20,8,15,BA
150000,Man,IC,4,13,2,BA
130000,Man,IC,30,8,25,LT BA
135470,Man,IC,25,12,14,MA
70000,Man,IC,35,12,20,PhD
130000,Man,IC,19,11,13,MA
138000,Man,IC,21,13,13,BA
108470,Man,IC,4,14,2,BA
102000,Man,IC,11,16,5,BA
105000,Man,Manager,10,17,7,LT BA
140000,Man,IC,21,14,12,LT BA
130000,Man,IC,LT 1 year,19,5,BA
1e+05,Man,Manager,6,16,2,BA
70000,Man,IC,5,13,3,BA
250000,Man,IC,30,19,18,MA
69500,Man,IC,7,14,4,BA
70000,Man,IC,6,22,4,MA
120000,Man,IC,33,15,29,MA
135000,Man,IC,35,11,13,MA
143500,Man,IC,13,12,6,BA
105000,Man,IC,14,15,7,BA
91500,Man,IC,12,15,5,BA
109000,Man,Manager,30,10,20,BA
72500,Man,IC,4,13,2,BA
85000,Man,IC,6,16,LT 1 year,BA
140000,Man,IC,30,8,25,LT BA
176230,Man,IC,20,10,15,LT BA
180000,Man,Manager,27,11,17,BA
1e+05,Man,Manager,16,15,11,LT BA
1e+05,Woman,IC,5,20,3,BA
124000,Man,IC,19,14,19,MA
60000,Man,IC,10,15,1,BA
156000,Man,IC,26,11,17,PhD
50000,Woman,IC,16,16,10,BA
80000,Man,IC,2,13,LT 1 year,BA
337000,Man,Manager,49,15,48,LT BA
135000,Man,IC,21,10,10,LT BA
130000,Man,IC,18,16,13,BA
135000,Woman,IC,5,14,2,BA
2e+05,Man,Manager,16,11,10,MA
90000,Man,IC,7,21,1,BA
240000,Man,IC,14,14,3,MA
85000,Man,Manager,25,10,3,BA
153500,Man,IC,9,18,4,BA
91000,Man,IC,25,12,22,BA
84000,Man,IC,4,23,2,MA
65000,Man,IC,7,16,2,BA
70000,Man,IC,4,15,LT 1 year,MA
123000,Man,IC,6,14,4,BA
161000,Man,IC,9,12,3,MA
90000,Woman,IC,10,10,4,MA
1e+05,Man,IC,13,16,6,MA
110000,Man,IC,20,17,18,BA
68000,Man,IC,9,14,2,BA
80000,Man,Manager,44,19,44,BA
126000,Man,IC,20,23,15,MA
110000,Woman,IC,12,14,9,BA
75000,Man,IC,8,12,5,LT BA
58000,Man,IC,8,18,1,BA
1e+05,Man,Manager,NA,10,25,BA
99000,Man,IC,5,18,2,BA
120000,Man,IC,30,10,20,MA
240000,Man,Manager,36,14,14,LT BA
95000,Woman,IC,7,19,3,MA
70000,Man,IC,7,20,5,BA
155000,Man,Manager,21,16,20,LT BA
250000,Man,IC,32,Younger than 5 years,19,PhD
175000,Man,IC,20,20,10,MA
95000,Man,IC,11,18,6,BA
68000,Man,IC,4,23,4,BA
113000,Man,IC,4,21,4,LT BA
160000,Man,IC,10,11,8,BA
57000,Man,IC,8,10,3,LT BA
37000,Man,IC,2,11,LT 1 year,LT BA
170000,Man,IC,25,12,19,PhD
85000,Man,IC,5,19,3,BA
180000,Man,IC,9,20,7,LT BA
108000,Woman,IC,6,14,2,BA
40000,Man,IC,5,16,3,LT BA
50000,Man,IC,3,19,LT 1 year,BA
130000,Man,IC,9,17,3,MA
173000,Man,IC,40,12,35,MA
128000,Man,Manager,17,18,13,BA
76450,Man,Manager,30,12,25,BA
140000,Woman,Manager,2,13,5,MA
125000,Man,IC,19,16,16,BA
105000,Man,IC,2,14,LT 1 year,Professional
220000,Man,Manager,23,12,20,BA
140000,Man,IC,21,12,11,BA
67000,Man,IC,8,14,6,LT BA
157000,Man,Manager,15,15,12,BA
1e+05,Man,IC,12,14,3,LT BA
155000,Man,Manager,3,18,8,MA
140000,Man,IC,8,15,8,LT BA
145000,Man,IC,5,12,4,BA
75000,Man,IC,4,35,3,BA
90000,Woman,IC,8,12,6,BA
70000,Man,IC,9,14,LT 1 year,BA
1e+05,Man,IC,18,13,14,MA
55000,Man,IC,12,11,1,BA
69300,Man,IC,15,17,4,BA
112000,Woman,IC,11,12,3,BA
115000,Woman,IC,18,21,14,BA
1e+05,Woman,IC,17,18,8,MA
105000,Man,Manager,8,15,4,BA
115000,Man,IC,12,16,9,BA
115000,Man,IC,8,15,4,BA
139150,Man,IC,12,12,6,LT BA
420000,Man,IC,13,13,6,LT BA
120000,Man,IC,15,13,6,BA
1e+05,Man,IC,12,10,LT 1 year,LT BA
80000,Man,IC,7,18,3,BA
106500,Man,IC,10,18,5,BA
66300,Man,IC,6,15,4,BA
63000,Man,IC,5,10,3,BA
60000,Woman,IC,14,15,3,BA
55000,Man,IC,5,11,2,BA
132000,Man,IC,23,8,11,MA
185000,Man,IC,10,19,7,PhD
98000,Woman,IC,6,24,3,PhD
140000,Man,IC,4,13,4,MA
150000,Man,Manager,25,7,16,BA
120000,Man,IC,6,18,5,BA
430000,Man,IC,15,15,6,BA
110000,Man,IC,20,23,15,LT BA
129000,Woman,IC,7,15,LT 1 year,MA
125000,Man,IC,12,14,8,BA
130000,Man,IC,8,14,4,BA
89000,Man,IC,8,13,3,BA
240000,Man,IC,26,14,23,LT BA
87000,Man,IC,15,15,8,BA
60000,Man,IC,3,29,3,BA
85000,Man,IC,7,14,3,BA
126000,Woman,IC,1,20,LT 1 year,MA
91000,Man,IC,8,20,5,BA
151000,Man,IC,15,15,10,BA
150552,Woman,IC,7,17,5,PhD
190000,Man,Manager,36,12,27,MA
135000,Man,IC,13,15,8,BA
103000,Woman,IC,8,15,3,BA
85000,Man,IC,17,17,11,MA
75000,Man,IC,7,17,2,MA
55000,Man,IC,4,22,2,LT BA
50000,Woman,IC,10,8,6,BA
40000,Man,IC,19,11,9,MA
150000,Man,Manager,14,9,12,BA
1e+05,Man,IC,32,10,11,PhD
137000,Man,IC,11,14,6,BA
129000,Man,IC,13,30,4,MA
76000,Man,IC,5,10,4,BA
60000,Man,IC,12,12,5,LT BA
182000,Man,Manager,14,15,10,BA
160000,Man,Manager,20,18,18,BA
120000,Man,IC,40,12,28,LT BA
125000,Man,IC,29,15,23,BA
125000,Man,IC,40,10,32,BA
125000,Man,Manager,12,17,7,BA
4e+05,Man,IC,12,12,5,PhD
1e+05,Man,IC,6,18,1,BA
104000,Man,IC,9,16,7,LT BA
50000,Woman,IC,20,21,20,LT BA
72600,Woman,IC,20,10,15,BA
63000,Man,IC,12,10,2,BA
99000,Man,IC,13,12,8,BA
2e+05,Man,IC,14,9,10,BA
185000,Man,Manager,33,7,22,MA
130000,Man,IC,27,14,23,BA
142000,Man,IC,25,13,23,LT BA
89400,Man,IC,37,19,20,BA
135000,Man,IC,20,14,12,BA
160000,Man,IC,10,16,5,LT BA
67000,Man,IC,5,19,3,BA
123000,Man,IC,12,28,10,LT BA
97075,Man,IC,10,13,5,BA
225000,Man,IC,9,16,8,BA
1e+05,Man,IC,8,17,4,BA
110000,Man,Manager,10,22,8,MA
78000,Man,IC,12,16,6,BA
1e+05,Man,IC,10,10,7,BA
170000,Man,IC,12,14,7,BA
80000,Man,IC,6,18,3,BA
110000,Man,IC,7,10,5,MA
66000,Man,IC,3,20,LT 1 year,LT BA
165000,Man,IC,12,29,14,MA
121500,Man,IC,20,25,20,LT BA
110000,Man,Manager,20,14,15,BA
1e+05,Man,IC,8,16,2,BA
1e+05,Man,IC,5,23,3,BA
50000,Man,IC,5,19,1,BA
70000,Man,IC,10,14,8,LT BA
115000,Man,IC,21,14,11,BA
110000,Man,IC,22,11,12,LT BA
65000,Woman,IC,5,25,3,BA
75000,Woman,IC,2,16,1,BA
110000,Man,IC,2,19,2,BA
106000,Man,Manager,20,13,8,BA
70000,Man,IC,10,13,7,LT BA
63000,Man,Manager,3,12,2,MA
83750,Man,IC,3,14,2,BA
67250,Woman,IC,3,23,2,BA
130000,Man,Manager,18,13,NA,PhD
130000,Man,Manager,20,14,14,MA
166600,Man,IC,6,16,1,BA
105000,Man,IC,4,14,4,BA
80750,Woman,IC,3,19,3,MA
1e+05,Man,IC,20,17,17,BA
179000,Man,IC,22,16,15,MA
117000,Man,IC,22,9,10,BA
1e+05,Man,IC,15,24,14,BA
112600,Man,IC,5,25,4,BA
115000,Man,IC,14,14,10,LT BA
49188,Woman,IC,14,10,10,PhD
1e+05,Man,IC,35,10,27,BA
60000,Man,IC,7,19,2,BA
150000,Man,IC,15,20,10,BA
135000,Man,IC,18,13,9,BA
120000,Man,IC,17,12,14,MA
137000,Man,IC,14,19,12,BA
150000,Woman,IC,5,14,4,BA
77000,Man,IC,4,22,4,MA
115000,Man,IC,11,12,9,MA
115000,Woman,IC,6,18,2,BA
160000,Man,IC,25,10,13,BA
90000,Man,IC,5,20,LT 1 year,MA
76500,Man,IC,10,16,5,BA
95000,Man,Manager,7,25,7,BA
85000,Man,IC,15,14,5,MA
120000,Man,IC,16,9,9,LT BA
117500,Man,IC,16,10,14,BA
70000,Man,IC,13,31,7,LT BA
40000,Man,IC,3,30,LT 1 year,BA
73102,Man,IC,8,18,4,BA
98000,Man,IC,5,12,3,MA
3e+05,Man,IC,19,15,10,MA
170000,Man,IC,33,12,21,BA
150000,Man,IC,20,12,10,BA
75000,Man,IC,11,13,9,BA
101500,Man,IC,6,19,2,MA
70000,Man,IC,10,15,2,LT BA
103000,Woman,IC,22,35,21,BA
215000,Man,IC,20,13,11,LT BA
270000,Man,Manager,32,12,27,BA
36000,Man,IC,18,18,18,MA
82000,Man,IC,2,27,2,MA
260000,Man,Manager,37,12,25,MA
97000,Man,IC,12,12,10,MA
75000,Man,IC,3,24,LT 1 year,BA
104000,Man,IC,12,15,8,BA
187000,Man,IC,41,21,41,MA
1e+05,Man,IC,12,16,7,BA
135000,Man,IC,23,12,15,BA
93000,Man,IC,16,20,1,PhD
64000,Man,Manager,15,15,12,MA
130000,Man,IC,17,13,9,LT BA
130000,Man,IC,19,15,10,BA
65000,Woman,IC,10,16,10,BA
125000,Man,IC,2,21,2,BA
165600,Man,IC,4,17,4,BA
2e+05,Man,IC,26,7,20,BA
68000,Man,IC,10,15,2,BA
90000,Man,IC,7,27,7,BA
86100,Man,IC,22,8,4,LT BA
95000,Man,Manager,18,11,10,BA
110000,Woman,IC,10,27,8,LT BA
250000,Man,IC,12,14,11,MA
110000,Man,IC,5,24,2,MA
120000,Man,IC,11,15,5,BA
150000,Man,Manager,22,10,18,BA
150000,Woman,IC,17,14,5,MA
250000,Man,IC,10,13,5,BA
70000,Man,IC,20,10,10,BA
120000,Man,IC,8,12,1,BA
105000,Man,IC,18,12,10,LT BA
80000,Man,IC,7,17,LT 1 year,MA
150000,Man,Manager,15,15,7,BA
104750,Man,IC,21,18,21,BA
125000,Man,IC,22,12,15,BA
85000,Man,IC,6,13,5,BA
103000,Man,IC,27,12,25,BA
45700,Man,IC,16,13,5,BA
34000,Woman,IC,8,14,6,BA
75000,Man,IC,8,14,2,BA
125000,Man,IC,18,14,13,BA
51000,Man,IC,16,13,11,LT BA
140000,Man,IC,10,18,6,BA
80000,Man,IC,30,10,25,LT BA
2e+05,Man,IC,12,10,5,BA
47000,Man,IC,6,13,4,LT BA
85000,Man,IC,11,16,6,BA
120000,Man,IC,20,6,20,BA
155000,Man,IC,25,10,25,LT BA
90000,Man,IC,21,16,15,BA
140000,Man,Manager,28,7,14,LT BA
60000,Man,IC,7,13,3,BA
73000,Man,IC,8,18,4,BA
148400,Woman,IC,20,14,12,BA
76000,Man,IC,11,14,7,LT BA
97000,Man,IC,6,19,3,MA
120000,Woman,IC,18,13,6,BA
120000,Man,IC,18,14,13,LT BA
115000,Man,IC,5,26,3,BA
140000,Man,IC,10,22,5,MA
110000,Man,IC,12,17,7,BA
225000,Man,IC,30,11,22,LT BA
65000,Woman,IC,10,11,7,BA
150000,Man,Manager,8,18,4,MA
130000,Man,Manager,30,17,30,PhD
69000,Man,IC,5,13,2,BA
125000,Man,IC,37,16,30,BA
155000,Woman,IC,12,17,7,BA
110000,Man,IC,7,15,1,BA
145000,Man,IC,6,17,1,BA
134000,Man,IC,10,12,5,PhD
165000,Man,IC,16,12,13,BA
81500,Woman,IC,4,6,2,LT BA
105000,Man,IC,19,9,15,BA
95000,Man,IC,7,20,5,MA
185000,Man,IC,4,12,2,BA
60000,Man,IC,7,14,4,BA
90000,Man,IC,3,17,2,BA
126000,Man,Manager,30,7,14,BA
87300,Man,IC,20,10,12,BA
95000,Man,IC,7,18,7,BA
126126,Woman,IC,6,11,5,LT BA
131000,Man,IC,18,9,16,BA
160000,Woman,IC,25,10,20,BA
82000,Man,IC,24,25,16,BA
1e+05,Man,IC,7,11,LT 1 year,BA
65000,Man,IC,5,21,5,MA
55000,Woman,IC,2,30,LT 1 year,MA
120000,Man,IC,17,18,14,MA
72500,Man,IC,11,14,6,BA
180000,Man,IC,12,16,8,MA
225000,Man,Manager,45,12,37,MA
120000,Man,IC,20,14,10,MA
70000,Man,IC,4,19,1,BA
95000,Man,IC,22,11,15,BA
135000,Woman,IC,10,17,7,BA
150000,Man,IC,22,14,18,BA
165000,Man,IC,14,13,10,BA
120000,Man,IC,20,10,18,BA
180000,Man,IC,8,14,6,BA
90000,Man,IC,3,21,3,MA
60000,Man,IC,10,11,5,BA
90000,Man,IC,10,17,7,BA
65000,Man,IC,8,22,7,MA
82500,Man,IC,6,22,2,MA
130000,Man,IC,13,18,10,BA
84000,Man,IC,8,13,5,MA
1e+05,Woman,IC,5,19,1,MA
95000,Man,IC,12,14,4,MA
93000,Man,IC,6,14,4,BA
159000,Man,IC,21,15,22,LT BA
103000,Man,IC,7,15,6,BA
130000,Woman,IC,8,13,2,LT BA
113000,Man,IC,5,14,4,MA
135000,Man,IC,10,14,9,LT BA
2e+05,Man,Manager,8,16,3,BA
187000,Man,IC,6,26,6,BA
85000,Woman,IC,6,15,6,BA
146000,Man,IC,20,8,19,LT BA
110000,Woman,IC,15,15,10,BA
90000,Man,IC,6,12,6,BA
110000,Woman,IC,10,12,4,BA
80000,Man,IC,19,14,8,BA
2e+05,Man,Manager,14,16,11,BA
350000,Man,IC,26,6,14,MA
130000,Man,IC,9,19,7,BA
76000,Woman,IC,3,28,2,MA
130000,Man,IC,19,14,13,BA
120000,Man,IC,20,12,10,MA
80000,Man,IC,5,18,4,MA
70000,Man,IC,6,18,4,BA
125000,Man,IC,8,16,5,BA
60000,Man,Manager,9,22,6,BA
70000,Woman,IC,2,20,1,BA
140000,Man,IC,30,12,23,BA
65000,Man,IC,11,20,11,LT BA
60000,Man,IC,2,21,1,BA
180000,Man,IC,5,12,2,BA
146000,Man,Manager,14,18,9,MA
3e+05,Man,Manager,27,16,24,MA
74500,Man,IC,24,16,24,LT BA
175000,Man,Manager,15,10,15,BA
140000,Man,IC,45,18,40,MA
60000,Man,IC,7,14,LT 1 year,BA
118000,Man,IC,36,13,25,BA
270000,Man,Manager,37,5,34,LT BA
90000,Man,IC,5,16,1,BA
137500,Man,IC,15,17,8,BA
50000,Man,IC,6,16,5,LT BA
170000,Man,IC,25,14,22,LT BA
148000,Man,IC,29,12,22,BA
165500,Man,IC,20,13,10,BA
159000,Woman,IC,6,29,5,BA
85000,Man,IC,10,11,LT 1 year,LT BA
110000,Man,IC,23,12,21,PhD
125000,Man,IC,4,27,3,BA
81543,Man,IC,3,13,3,BA
50000,Man,IC,1,18,LT 1 year,BA
75000,Man,IC,7,16,3,LT BA
125000,Man,IC,3,23,3,BA
375000,Man,IC,12,13,6,MA
120000,Woman,IC,20,12,8,LT BA
97000,Man,IC,6,10,1,BA
110000,Man,IC,20,10,11,BA
220000,Man,IC,20,7,10,PhD
85000,Man,Manager,15,17,7,BA
95000,Man,IC,5,12,5,LT BA
92000,Man,IC,8,12,3,BA
156000,Man,IC,8,20,8,LT BA
255000,Man,IC,12,7,5,BA
130000,Man,Manager,2,7,1,BA
145000,Man,IC,19,12,8,BA
92000,Man,IC,5,20,4,BA
1025000,Man,IC,13,13,4,LT BA
121000,Man,IC,8,12,6,BA
52000,Man,IC,6,16,5,BA
190000,Man,IC,11,16,5,MA
138000,Man,IC,10,14,4,PhD
120000,Man,IC,17,15,14,BA
130000,Woman,IC,5,16,4,MA
2e+05,Man,IC,22,15,20,LT BA
135000,Man,Manager,22,15,18,BA
150000,Man,IC,35,13,24,BA
50000,Woman,Manager,4,31,4,BA
1e+05,Man,IC,12,16,7,LT BA
140000,Man,IC,20,13,15,BA
110000,Man,IC,16,15,12,BA
85000,Man,IC,7,14,3,BA
125000,Man,IC,17,18,12,BA
86000,Man,IC,18,18,13,BA
140000,Man,IC,6,13,1,BA
120000,Man,IC,9,15,3,BA
93000,Man,IC,5,13,4,LT BA
105000,Man,IC,9,15,2,BA
195249,Man,Manager,10,15,4,BA
445000,Man,IC,30,8,18,BA
95000,Man,IC,40,11,15,LT BA
118000,Man,IC,13,11,9,BA
60000,Man,IC,5,20,2,BA
110000,Man,IC,4,31,2,MA
78000,Man,IC,14,15,3,MA
58000,Man,IC,15,9,6,BA
92230,Man,IC,12,12,9,LT BA
93600,Man,IC,30,10,15,BA
180000,Man,IC,10,17,5,BA
160000,Man,IC,20,12,10,BA
130000,Man,IC,6,13,4,BA
75000,Man,IC,6,11,4,LT BA
89000,Man,IC,14,19,10,LT BA
65000,Man,IC,12,10,8,BA
105000,Man,IC,12,12,10,LT BA
110000,Man,IC,8,12,6,LT BA
115000,Man,IC,11,15,5,BA
160000,Man,IC,15,6,10,BA
150000,Man,IC,20,15,15,BA
65000,Man,IC,3,27,1,BA
139000,Man,IC,37,17,12,LT BA
150000,Man,IC,10,15,1,MA
91000,Man,IC,9,18,7,BA
132000,Man,IC,14,14,9,BA
60000,Man,IC,5,15,3,BA
250000,Man,IC,11,12,4,BA
33000,Man,IC,12,18,6,MA
116000,Woman,IC,23,20,20,BA
215000,Man,IC,15,18,12,LT BA
56160,Man,IC,15,5,7,LT BA
70000,Man,IC,4,18,1,LT BA
171000,Man,IC,20,20,20,MA
135000,Woman,Manager,18,13,14,BA
72000,Man,IC,27,14,8,BA
90000,Man,Manager,23,8,11,LT BA
175000,Man,IC,30,7,15,MA
130000,Man,IC,30,11,25,PhD
2e+05,Man,IC,28,12,18,BA
155000,Man,IC,15,10,15,PhD
80000,Man,Manager,20,16,15,MA
60000,Man,IC,2,20,2,BA
129000,Man,IC,31,10,19,BA
106000,Man,Manager,6,18,3,BA
105000,Woman,IC,10,18,7,BA
1e+05,Man,IC,16,15,10,MA
350000,Man,IC,20,14,12,MA
160000,Man,IC,14,20,14,MA
110000,Man,IC,39,13,26,LT BA
180000,Woman,Manager,9,11,2,BA
55000,Man,IC,8,16,2,BA
65000,Woman,IC,4,23,3,BA
106500,Man,IC,20,14,17,MA
104000,Man,IC,13,17,7,BA
88000,Man,IC,5,20,1,BA
450000,Man,IC,22,12,11,BA
60000,Man,IC,13,12,7,BA
210000,Man,IC,25,9,14,BA
155000,Woman,Manager,7,16,2,BA
88000,Man,IC,5,17,2,BA
192000,Man,IC,12,12,7,LT BA
75000,Woman,IC,1,21,LT 1 year,BA
95000,Man,IC,11,9,5,MA
75000,Man,IC,5,18,1,BA
90000,Man,IC,17,18,12,BA
50000,Man,IC,3,10,2,BA
2e+05,Man,IC,22,10,12,PhD
109453,Man,IC,21,17,20,BA
63000,Man,IC,10,6,5,BA
135000,Woman,IC,5,23,4,MA
129000,Man,IC,21,13,17,LT BA
90000,Man,IC,8,17,3,BA
60000,Man,IC,40,8,25,MA
130000,Man,IC,20,14,12,LT BA
120000,Man,IC,16,18,13,LT BA
137000,Woman,IC,4,21,3,BA
75000,Man,IC,9,13,6,BA
82000,Woman,IC,6,21,4,MA
105000,Man,IC,18,11,15,MA
126000,Man,IC,10,14,8,BA
132000,Man,IC,10,22,10,BA
91107,Man,IC,20,18,17,BA
210000,Man,IC,6,17,5,BA
66000,Man,IC,6,16,2,BA
81000,Man,IC,13,11,5,BA
62000,Man,IC,10,15,7,LT BA
126000,Man,IC,24,15,15,BA
125000,Man,IC,12,17,7,BA
115000,Man,IC,18,9,16,LT BA
167000,Man,IC,40,16,34,MA
52127,Man,IC,9,25,4,BA
130000,Man,IC,25,12,24,BA
85000,Man,IC,6,18,6,BA
80000,Woman,IC,16,14,7,LT BA
150000,Man,Manager,30,15,25,BA
140000,Man,IC,23,16,18,BA
80000,Man,IC,7,13,4,LT BA
105000,Man,IC,9,18,5,BA
82000,Man,IC,10,15,6,BA
140000,Man,IC,10,16,10,MA
150000,Man,IC,14,12,6,BA
50000,Man,IC,6,16,2,NA
75000,Man,IC,35,13,15,LT BA
230000,Man,IC,18,13,12,MA
170000,Man,IC,30,11,22,BA
157000,Man,IC,15,10,10,MA
96000,Man,IC,11,19,10,BA
175000,Man,IC,21,19,20,BA
60000,Woman,IC,10,10,4,LT BA
63700,Man,IC,8,14,4,BA
40150,Woman,IC,7,32,3,BA
70000,Man,IC,3,20,1,BA
70000,Man,IC,6,14,2,BA
150000,Man,IC,13,14,9,BA
133500,Woman,Manager,7,12,7,LT BA
316000,Woman,IC,38,19,35,MA
55000,Man,IC,5,16,1,BA
145000,Man,IC,4,18,3,PhD
175000,Man,IC,15,16,10,MA
105000,Man,IC,7,12,5,BA
92000,Man,IC,27,10,16,PhD
131500,Man,Manager,9,14,7,LT BA
45000,Man,IC,15,15,10,LT BA
167000,Man,IC,15,16,9,BA
144000,Man,IC,5,27,3,BA
135000,Woman,IC,7,19,5,BA
62000,Man,Manager,10,8,6,LT BA
60000,Man,IC,6,17,2,BA
51200,Man,IC,7,15,2,BA
65000,Man,IC,1,27,LT 1 year,LT BA
55000,Man,IC,30,16,20,BA
160000,Man,IC,19,22,3,LT BA
111000,Man,IC,12,10,9,BA
135000,Man,Manager,18,15,11,PhD
103000,Man,IC,15,30,11,BA
150000,Man,IC,19,13,14,BA
190000,Woman,IC,8,10,3,BA
90000,Man,Manager,20,11,13,LT BA
147500,Man,IC,20,10,11,BA
140000,Man,IC,13,13,5,BA
110000,Man,Manager,23,6,7,BA
50720,Man,IC,7,18,3,BA
62500,Man,IC,5,18,LT 1 year,BA
115000,Man,Manager,35,9,20,MA
170000,Man,IC,23,19,20,MA
130000,Man,IC,15,21,15,BA
75000,Man,IC,8,34,4,BA
130000,Man,IC,5,10,4,BA
65036,Man,IC,15,13,9,BA
1e+05,Man,IC,35,10,25,LT BA
150000,Man,IC,20,8,18,BA
155000,Man,IC,13,18,8,BA
55000,Man,IC,LT 1 year,12,LT 1 year,BA
114000,Man,IC,19,12,12,LT BA
130000,Man,IC,30,27,30,BA
60000,Man,IC,15,13,2,BA
135000,Man,IC,7,12,2,BA
160000,Man,IC,20,6,10,BA
120000,Man,IC,10,10,10,LT BA
63000,Man,IC,20,10,3,BA
175000,Man,IC,35,12,30,LT BA
75000,Man,IC,9,14,1,BA
65000,Man,IC,8,15,1,BA
133400,Man,IC,43,20,41,BA
153000,Man,IC,14,12,10,BA
80000,Man,IC,10,13,8,BA
120000,Man,IC,30,16,30,LT BA
98000,Man,IC,26,8,23,BA
110000,Man,Manager,8,15,5,BA
175000,Man,Manager,6,14,6,MA
95000,Man,Manager,10,15,6,MA
110000,Man,Manager,9,12,5,BA
130000,Man,Manager,20,12,15,MA
182500,Man,IC,12,12,10,MA
60000,Woman,IC,8,26,LT 1 year,MA
140000,Man,IC,50,14,48,BA
63000,Man,IC,6,13,4,BA
130000,Man,IC,7,18,4,BA
102000,Man,Manager,20,14,14,BA
115000,Man,IC,15,12,5,BA
142000,Man,IC,16,11,10,BA
65000,Man,IC,6,15,4,MA
115000,Man,IC,3,12,3,BA
95000,Man,IC,10,16,7,LT BA
1e+05,Woman,IC,14,17,10,BA
96000,Man,IC,8,17,5,BA
110650,Man,IC,5,28,4,LT BA
94600,Woman,IC,7,16,3,BA
72500,Woman,IC,2,23,2,BA
78000,Man,IC,14,15,5,BA
120000,Man,IC,15,15,10,LT BA
97850,Man,IC,8,16,5,BA
106000,Man,IC,35,12,22,MA
45000,Man,IC,6,16,1,BA
130000,Man,IC,13,16,13,LT BA
151800,Man,IC,22,14,20,LT BA
230000,Man,Manager,30,17,25,BA
53500,Woman,IC,8,12,LT 1 year,BA
1e+05,Woman,IC,3,21,3,BA
70000,Man,IC,5,19,4,BA
